id,generator,target,target_model,label,pred_original,pred_attacked,raw_original,raw_attacked,original_correct,attacked_correct,attack_success
0,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
1,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
2,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
3,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
4,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
6,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
7,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
9,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
10,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
11,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
12,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
13,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
14,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
15,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
16,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
17,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
19,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
21,gemini,gemini,gemini-3.1-pro-preview,1,0,0,0,0,0,0,0
22,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
23,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
24,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
25,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
26,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
27,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
30,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
31,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
32,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
33,gemini,gemini,gemini-3.1-pro-preview,2,1,2,1,2,0,1,0
34,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
35,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
36,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
37,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
38,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
42,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
43,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
44,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
45,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
46,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
49,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
50,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
51,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
52,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
53,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
55,gemini,gemini,gemini-3.1-pro-preview,1,1,0,1,0,1,0,1
57,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
58,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
61,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
62,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
64,gemini,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
65,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
67,gemini,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
68,gemini,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
