id,generator,target,target_model,label,pred_original,pred_attacked,raw_original,raw_attacked,original_correct,attacked_correct,attack_success
0,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
1,gemini,clova,HCX-005,1,1,0,1.0,0.0,1,0,1
2,gemini,clova,HCX-005,1,1,2,1.0,2.0,1,0,1
3,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
4,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
6,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
7,gemini,clova,HCX-005,1,1,1,1.0,1.0,1,1,0
9,gemini,clova,HCX-005,0,0,1,0.0,1.0,1,0,1
10,gemini,clova,HCX-005,1,1,1,1.0,1.0,1,1,0
11,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
12,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
13,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
14,gemini,clova,HCX-005,1,1,1,1.0,1.0,1,1,0
15,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
16,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
17,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
19,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
21,gemini,clova,HCX-005,1,1,1,1.0,1.0,1,1,0
22,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
23,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
24,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
25,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
26,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
27,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
30,gemini,clova,HCX-005,1,2,2,2.0,2.0,0,0,0
31,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
32,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
33,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
34,gemini,clova,HCX-005,1,1,1,1.0,1.0,1,1,0
35,gemini,clova,HCX-005,1,1,2,1.0,2.0,1,0,1
36,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
37,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
38,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
42,gemini,clova,HCX-005,0,2,2,2.0,2.0,0,0,0
43,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
44,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
45,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
46,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
49,gemini,clova,HCX-005,1,1,1,1.0,1.0,1,1,0
50,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
51,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
52,gemini,clova,HCX-005,1,1,0,1.0,0.0,1,0,1
53,gemini,clova,HCX-005,1,0,0,0.0,0.0,0,0,0
55,gemini,clova,HCX-005,1,2,0,2.0,0.0,0,0,0
57,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
58,gemini,clova,HCX-005,1,2,2,2.0,2.0,0,0,0
61,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
62,gemini,clova,HCX-005,2,2,1,2.0,1.0,1,0,1
64,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
65,gemini,clova,HCX-005,1,2,1,2.0,1.0,0,1,0
67,gemini,clova,HCX-005,1,0,0,0.0,0.0,0,0,0
68,gemini,clova,HCX-005,2,2,1,2.0,1.0,1,0,1
70,gemini,clova,HCX-005,1,0,0,0.0,0.0,0,0,0
71,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
72,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
75,gemini,clova,HCX-005,1,2,2,2.0,2.0,0,0,0
76,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
77,gemini,clova,HCX-005,1,1,0,1.0,0.0,1,0,1
78,gemini,clova,HCX-005,1,2,2,2.0,2.0,0,0,0
79,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
80,gemini,clova,HCX-005,1,2,2,2.0,2.0,0,0,0
82,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
83,gemini,clova,HCX-005,0,0,1,0.0,1.0,1,0,1
84,gemini,clova,HCX-005,1,1,1,1.0,1.0,1,1,0
85,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
87,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
88,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
89,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
90,gemini,clova,HCX-005,2,1,2,1.0,2.0,0,1,0
93,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
97,gemini,clova,HCX-005,2,2,2,2.0,2.0,1,1,0
98,gemini,clova,HCX-005,0,0,0,0.0,0.0,1,1,0
