id,generator,target,target_model,label,pred_original,pred_attacked,raw_original,raw_attacked,original_correct,attacked_correct,attack_success,old_pred_original,old_original_correct,old_attacked_correct,old_attack_success,recompute_source
0,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
1,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
2,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
3,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
4,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,1,0,1,1,0,1,0.0,1.0,0.0,1.0,consensus_fixed_original_cache
6,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
7,sonnet,sonnet,claude-sonnet-4-5@20250929,1,2,2,2,2,0,0,0,2.0,0.0,0.0,0.0,consensus_fixed_original_cache
9,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
10,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
11,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
12,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
13,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
14,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
15,sonnet,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0,,,,,
16,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
17,sonnet,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0,,,,,
19,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
21,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
22,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
23,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
24,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
25,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
26,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
27,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
30,sonnet,sonnet,claude-sonnet-4-5,1,1,1,1,1,1,1,0,,,,,
31,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
32,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
33,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
34,sonnet,sonnet,claude-sonnet-4-5@20250929,1,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,consensus_fixed_original_cache
35,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
36,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
37,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
38,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
42,sonnet,sonnet,claude-sonnet-4-5,0,1,2,1,2,0,0,0,,,,,
43,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
44,sonnet,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0,,,,,
45,sonnet,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0,,,,,
46,sonnet,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0,,,,,
49,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,0,1,0,1,0,1,1.0,1.0,0.0,1.0,consensus_fixed_original_cache
50,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
51,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
52,sonnet,sonnet,claude-sonnet-4-5@20250929,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,consensus_fixed_original_cache
53,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,0,1,0,1,0,1,1.0,1.0,0.0,1.0,consensus_fixed_original_cache
55,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
57,sonnet,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0,,,,,
58,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
61,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
62,sonnet,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0,,,,,
64,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
65,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
67,sonnet,sonnet,claude-sonnet-4-5@20250929,1,0,1,0,1,0,1,0,0.0,0.0,1.0,0.0,consensus_fixed_original_cache
68,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
70,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
71,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
72,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
75,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
76,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
77,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,0,1,0,1,0,1,1.0,1.0,0.0,1.0,consensus_fixed_original_cache
78,sonnet,sonnet,claude-sonnet-4-5@20250929,1,2,1,2,1,0,1,0,2.0,0.0,1.0,0.0,consensus_fixed_original_cache
79,sonnet,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0,,,,,
80,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
82,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
83,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
84,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
85,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
87,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
88,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
89,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
90,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
93,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
97,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
98,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
101,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
102,sonnet,sonnet,claude-sonnet-4-5@20250929,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
104,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
107,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
108,sonnet,sonnet,claude-sonnet-4-5@20250929,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
109,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
111,sonnet,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0,,,,,
112,sonnet,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0,,,,,
113,sonnet,sonnet,claude-sonnet-4-5@20250929,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
115,sonnet,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0,,,,,
