id,generator,target,target_model,label,pred_original,pred_attacked,raw_original,raw_attacked,original_correct,attacked_correct,attack_success
0,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
1,clova,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
2,clova,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
3,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
4,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
6,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
7,clova,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
9,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
10,clova,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
11,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
12,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
13,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
14,clova,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
15,clova,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
16,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
17,clova,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
19,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
21,clova,gemini,gemini-3.1-pro-preview,1,0,0,0,0,0,0,0
22,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
23,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
24,clova,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
25,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
26,clova,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
27,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
30,clova,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
31,clova,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
32,clova,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
