method,category,name,n_samples,n_success,asr,ci_lower,ci_upper
BackTranslation,Overall,Total,7715,592,7.673363577446533,7.077122488658458,8.269604666234608
BackTranslation,Target,hyperclova_x,1725,182,10.55072463768116,9.10144927536232,12.0
BackTranslation,Target,gemini,2032,116,5.708661417322835,4.724409448818897,6.742125984251969
BackTranslation,Target,gpt,1957,164,8.380173735309146,7.2049054675523765,9.606540623403168
BackTranslation,Target,claude_sonnet,2001,130,6.496751624187906,5.44727636181909,7.596201899050476
BackTranslation,Label,Entailment,2795,278,9.946332737030412,8.87298747763864,11.05545617173524
BackTranslation,Label,Neutral,2313,196,8.473843493298746,7.349762213575444,9.59792477302205
BackTranslation,Label,Contradiction,2607,118,4.526275412351362,3.7591100882240123,5.331799002685079
LLM_All,Overall,Total,30827,1861,6.036915690790541,5.77091510688682,6.306160184254063
LLM,Generator,hyperclova_x,7704,749,9.722222222222223,9.060228452751817,10.384215991692628
LLM,Generator,gemini,7715,460,5.962410887880751,5.4439403758911205,6.506804925469864
LLM,Generator,gpt,7704,288,3.7383177570093453,3.3099688473520246,4.166666666666666
LLM,Generator,claude_sonnet,7704,364,4.724818276220145,4.257528556593977,5.192107995846314
LLM,Target,hyperclova_x,6876,654,9.511343804537521,8.827806864456079,10.209424083769633
LLM,Target,gemini,8128,277,3.407972440944882,3.014271653543307,3.801673228346457
LLM,Target,gpt,7807,473,6.0586653003714614,5.5463045984373,6.596644037402331
LLM,Target,claude_sonnet,8016,457,5.7010978043912175,5.202095808383234,6.212574850299401
LLM_All,Label,Entailment,11177,549,4.911872595508634,4.509260087680057,5.323432047955623
LLM_All,Label,Neutral,9198,816,8.871493803000652,8.284409654272668,9.447977821265487
LLM_All,Label,Contradiction,10452,496,4.745503252965939,4.334098737083812,5.156907768848067
