id,premise,hypothesis,label,attacked_hypothesis,generator
0,시카고 등 일부 도시는 땅속에 있는 수분이 얼면서 일어나는 결빙지진 현상을 경험했다.,결빙지진 현상은 시카고 등 일부 도시에서 발생했다.,0,일부 도시인 시카고를 포함해 결빙지진 현상이 발현했다.,clova
1,찰리는 작업중인 작품을 머지않아 브로드웨이 무대에 올릴 예정이어서 뉴욕을 떠날 수 없는 처지였다.,찰리는 작품이 무대에 올려지면 바로 뉴욕을 떠날 것이다.,1,작품이 무대 위로 올라가면 찰리는 즉시 뉴욕에서 벗어날 생각이다.,clova
2,"단, 지속 가능한 발전 중에서 풍력 발전소는 짓지 않겠다고 하며 독일과 중국에서의 풍력 발전소 때문에 매연이 발생하는 것을 예시로 들었다.",독일과 중국에서의 풍력 발전소 때문에 매연이 매우 심하여 환경오염이 우려된다.,1,독일과 중국에서 풍력발전소의 매연으로 인해 환경 오염 문제가 염려스럽다.,clova
3,탈출한 곰은 오후 5시 15분 마지막으로 발견된 이후 현재까지 포획되지 못하고 있다.,현재까지 포획하지 못한 곰이 있다.,0,아직 잡히지 않은 곰들이 존재한다.,clova
4,야수 중에는 월드시리즈에 출전한 한국인 선수가 아직 없다.,월드시리즈에 출전한 선수 중 한국인 야수는 없다.,0,월드시리즈 참가 선수 중에 한국 출신 타자는 존재하지 않는다.,clova
5,분위기 몰입도 등은 좋았는데 결말 쓰레기,결말이 쓰레기지만 분위기는 좋았다.,0,"분위기는 훌륭했지만, 끝맺음은 실망스러웠다.",clova
6,숙소의 시설은 사진에 나와있는 그대로입니다.,숙소 시설이 사진과 똑같습니다.,0,사진 속 모습 그대로 숙소의 시설들이 일치합니다.,clova
7,"내년에도, 내후년에도 블랙프라이데이는 돌아오기 때문이다.",블랙프라이데이만 매년 돌아온다.,1,매년 돌아오는 것은 오직 블랙프라이데이뿐이다.,clova
8,이런게 바로 제대로된 오락영화가 아닌가싶다,오락 영화는 재밌다.,1,오락 영화는 즐거움을 준다.,clova
9,전체적으로 가격을 생각하면 뭐 좋긴 합니다.,가격은 괜찮은 편입니다.,0,가격이 적당한 수준에 속합니다.,clova
10,교통도 트램과 지하철이 가까이 있어 편리합니다.,트램이 지하철보다 가깝습니다.,1,트램은 지하철에 비해 더 가까운 거리에 있습니다.,clova
11,아직까지 영화 안보신 분들을 위해 강력히 비추합니다.,영화를 아직 시청하지 않은 사람들에게 추천하지 않습니다.,0,영화를 아직 관람하지 않은 이들에게는 권하지 않습니다.,clova
12,첫 파리여행에서 정말 좋은숙소를 만났습니다,정말 좋은 숙소를 첫 파리여행에서 만났습니다.,0,첫 파리 여행 중 만난 숙소가 참 좋았습니다.,clova
13,인시란 현장 근로자 전원의 근무시간을 합친 것을 말한다.,현장 근로자 모두의 근무시간을 합치면 인시가 된다.,0,현장 작업자들 전체의 노동 시간을 모두 합하면 인시로 환산된다.,clova
