id,generator,target,target_model,label,pred_original,pred_attacked,raw_original,raw_attacked,original_correct,attacked_correct,attack_success
0,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
1,openai,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
2,openai,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
3,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
4,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
6,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
7,openai,gemini,gemini-3.1-pro-preview,1,1,0,1,0,1,0,1
9,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
10,openai,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
11,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
12,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
13,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
14,openai,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
15,openai,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
16,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
17,openai,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
19,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
21,openai,gemini,gemini-3.1-pro-preview,1,0,0,0,0,0,0,0
22,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
23,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
24,openai,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
25,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
26,openai,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
27,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
30,openai,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
31,openai,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
32,openai,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
33,openai,gemini,gemini-3.1-pro-preview,2,1,2,1,2,0,1,0
34,openai,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
35,openai,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
36,openai,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
