id,generator,target,target_model,label,pred_original,pred_attacked,raw_original,raw_attacked,original_correct,attacked_correct,attack_success
0,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
1,gemini,sonnet,claude-sonnet-4-5,1,1,1,1,1,1,1,0
2,gemini,sonnet,claude-sonnet-4-5,1,1,1,1,1,1,1,0
3,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
4,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
6,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
7,gemini,sonnet,claude-sonnet-4-5,1,2,2,2,2,0,0,0
9,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
10,gemini,sonnet,claude-sonnet-4-5,1,1,1,1,1,1,1,0
11,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
12,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
13,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
14,gemini,sonnet,claude-sonnet-4-5,1,1,1,1,1,1,1,0
15,gemini,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0
16,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
17,gemini,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0
19,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
21,gemini,sonnet,claude-sonnet-4-5,1,1,1,1,1,1,1,0
22,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
23,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
24,gemini,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0
25,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
26,gemini,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0
27,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
30,gemini,sonnet,claude-sonnet-4-5,1,1,1,1,1,1,1,0
31,gemini,sonnet,claude-sonnet-4-5,0,0,0,0,0,1,1,0
32,gemini,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0
33,gemini,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0
34,gemini,sonnet,claude-sonnet-4-5,1,0,0,0,0,0,0,0
35,gemini,sonnet,claude-sonnet-4-5,1,1,1,1,1,1,1,0
36,gemini,sonnet,claude-sonnet-4-5,2,2,2,2,2,1,1,0
