id,generator,target,target_model,label,pred_original,pred_attacked,raw_original,raw_attacked,original_correct,attacked_correct,attack_success
0,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
1,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
2,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
3,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
4,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
6,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
7,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
9,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
10,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
11,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
12,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
13,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
14,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
15,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
16,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
17,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
19,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
21,sonnet,gemini,gemini-3.1-pro-preview,1,0,0,0,0,0,0,0
22,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
23,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
24,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
25,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
26,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
27,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
30,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
31,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
32,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
33,sonnet,gemini,gemini-3.1-pro-preview,2,1,1,1,1,0,0,0
34,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
35,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
36,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
37,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
38,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
42,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
43,sonnet,gemini,gemini-3.1-pro-preview,0,0,1,0,1,1,0,1
44,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
45,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
46,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
49,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
50,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
51,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
52,sonnet,gemini,gemini-3.1-pro-preview,1,1,0,1,0,1,0,1
53,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
55,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
57,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
58,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
61,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
62,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
64,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
65,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
67,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
68,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
70,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
71,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
72,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
75,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
76,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
77,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
78,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
79,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
80,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
82,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
83,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
84,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
85,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
87,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
88,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
89,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
90,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
93,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
97,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
98,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
101,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
102,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
104,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
107,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
108,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
109,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
111,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
112,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
113,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
115,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
116,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
117,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
118,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
119,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
120,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
121,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
122,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
123,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
124,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
125,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
126,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
127,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
128,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
129,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
130,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
132,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
133,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
134,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
135,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
136,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
137,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
138,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
139,sonnet,gemini,gemini-3.1-pro-preview,0,1,1,1,1,0,0,0
141,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
143,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
144,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
146,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
148,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
149,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
150,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
152,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
153,sonnet,gemini,gemini-3.1-pro-preview,2,2,0,2,0,1,0,1
154,sonnet,gemini,gemini-3.1-pro-preview,1,1,0,1,0,1,0,1
155,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
157,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
158,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
159,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
160,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
162,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
166,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
168,sonnet,gemini,gemini-3.1-pro-preview,1,1,0,1,0,1,0,1
169,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
170,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
172,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
174,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
175,sonnet,gemini,gemini-3.1-pro-preview,1,2,2,2,2,0,0,0
177,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
178,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
179,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
180,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
181,sonnet,gemini,gemini-3.1-pro-preview,1,0,1,0,1,0,1,0
182,sonnet,gemini,gemini-3.1-pro-preview,1,0,0,0,0,0,0,0
183,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
184,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
186,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
187,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
189,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
190,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
191,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
192,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
193,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
194,sonnet,gemini,gemini-3.1-pro-preview,1,2,2,2,2,0,0,0
196,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
197,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
198,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
201,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
202,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
205,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
206,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
207,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
208,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
209,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
211,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
212,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
213,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
214,sonnet,gemini,gemini-3.1-pro-preview,2,2,1,2,1,1,0,1
215,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
217,sonnet,gemini,gemini-3.1-pro-preview,0,0,1,0,1,1,0,1
218,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
219,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
220,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
221,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
222,sonnet,gemini,gemini-3.1-pro-preview,2,1,2,1,2,0,1,0
224,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
225,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
227,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
228,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
230,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
233,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
235,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
236,sonnet,gemini,gemini-3.1-pro-preview,1,0,1,0,1,0,1,0
237,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
238,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
239,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
244,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
245,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
247,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
248,sonnet,gemini,gemini-3.1-pro-preview,1,1,1,1,1,1,1,0
250,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
251,sonnet,gemini,gemini-3.1-pro-preview,2,2,2,2,2,1,1,0
252,sonnet,gemini,gemini-3.1-pro-preview,0,0,0,0,0,1,1,0
