condition_type,generator_key,target_key,lpr_condition_key,label,label_name,raw_n,raw_success,raw_asr,lpr_n_total,lpr_n_preserved,lpr_all,lpr_all_ci_lower,lpr_all_ci_upper,lpr_n_resolved,lpr_n_preserved_resolved,lpr_resolved,lpr_resolved_ci_lower,lpr_resolved_ci_upper,adjusted_success_all,adjusted_success_resolved
bt,backtranslation,claude_sonnet,claude_sonnet,0,Entailment,714,66,0.09243697478991597,15,5,0.3333333333333333,0.15176324439714725,0.5828645226148023,10,5,0.5,0.236593090512564,0.7634069094874361,22.0,33.0
bt,backtranslation,claude_sonnet,claude_sonnet,1,Neutral,622,42,0.06752411575562701,15,12,0.8,0.5481455128483065,0.9295245065301844,15,12,0.8,0.5481455128483065,0.9295245065301844,33.6,33.6
bt,backtranslation,claude_sonnet,claude_sonnet,2,Contradiction,665,22,0.03308270676691729,15,5,0.3333333333333333,0.15176324439714725,0.5828645226148023,13,5,0.38461538461538464,0.17709707797762575,0.6447710848733431,7.333333333333333,8.461538461538462
bt,backtranslation,gemini,gemini,0,Entailment,712,60,0.08426966292134831,15,2,0.13333333333333333,0.03736125910306537,0.37881982832322364,11,2,0.18181818181818182,0.05136768974608513,0.4769805619608442,8.0,10.90909090909091
bt,backtranslation,gemini,gemini,1,Neutral,651,34,0.05222734254992319,15,10,0.6666666666666666,0.41713547738519763,0.8482367556028527,15,10,0.6666666666666666,0.41713547738519763,0.8482367556028527,22.666666666666664,22.666666666666664
bt,backtranslation,gemini,gemini,2,Contradiction,669,22,0.03288490284005979,15,4,0.26666666666666666,0.10897453325692374,0.5195043405598057,15,4,0.26666666666666666,0.10897453325692374,0.5195043405598057,5.866666666666666,5.866666666666666
bt,backtranslation,gpt,gpt,0,Entailment,689,73,0.10595065312046444,15,9,0.6,0.357468301206246,0.8017550385865841,12,9,0.75,0.46769466506643426,0.9110583316059453,43.8,54.75
bt,backtranslation,gpt,gpt,1,Neutral,643,45,0.06998444790046657,15,9,0.6,0.357468301206246,0.8017550385865841,15,9,0.6,0.357468301206246,0.8017550385865841,27.0,27.0
bt,backtranslation,gpt,gpt,2,Contradiction,625,46,0.0736,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346,39.86666666666667,39.86666666666667
bt,backtranslation,hyperclova_x,hyperclova_x,0,Entailment,680,79,0.1161764705882353,15,14,0.9333333333333333,0.7018347012621998,0.9881331045067315,15,14,0.9333333333333333,0.7018347012621998,0.9881331045067315,73.73333333333333,73.73333333333333
