generator,target,path,exists,rows,expected_rows,duplicate_ids,missing_pred_original,missing_pred_attacked,invalid_pred_original_values,invalid_pred_attacked_values,id_set_matches_shared,missing_from_original_cache,original_cache_mismatch,original_correct_mismatch,attacked_correct_mismatch,attack_success_mismatch,ok
hyperclova_x,hyperclova_x,results\01_cross_model_evaluation\hyperclova_x_as_generator\to_hyperclova_x.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
hyperclova_x,gemini,results\01_cross_model_evaluation\hyperclova_x_as_generator\to_gemini.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
hyperclova_x,gpt,results\01_cross_model_evaluation\hyperclova_x_as_generator\to_gpt.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
hyperclova_x,claude_sonnet,results\01_cross_model_evaluation\hyperclova_x_as_generator\to_claude_sonnet.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
gemini,hyperclova_x,results\01_cross_model_evaluation\gemini_as_generator\to_hyperclova_x.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
gemini,gemini,results\01_cross_model_evaluation\gemini_as_generator\to_gemini.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
gemini,gpt,results\01_cross_model_evaluation\gemini_as_generator\to_gpt.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
gemini,claude_sonnet,results\01_cross_model_evaluation\gemini_as_generator\to_claude_sonnet.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
gpt,hyperclova_x,results\01_cross_model_evaluation\gpt_as_generator\to_hyperclova_x.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
gpt,gemini,results\01_cross_model_evaluation\gpt_as_generator\to_gemini.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
gpt,gpt,results\01_cross_model_evaluation\gpt_as_generator\to_gpt.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
gpt,claude_sonnet,results\01_cross_model_evaluation\gpt_as_generator\to_claude_sonnet.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
claude_sonnet,hyperclova_x,results\01_cross_model_evaluation\claude_sonnet_as_generator\to_hyperclova_x.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
claude_sonnet,gemini,results\01_cross_model_evaluation\claude_sonnet_as_generator\to_gemini.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
claude_sonnet,gpt,results\01_cross_model_evaluation\claude_sonnet_as_generator\to_gpt.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
claude_sonnet,claude_sonnet,results\01_cross_model_evaluation\claude_sonnet_as_generator\to_claude_sonnet.csv,True,2209,2209,0,0,0,,,True,0,0,0,0,0,True
