id,generator,target,target_model,label,pred_original,pred_attacked,raw_original,raw_attacked,original_correct,attacked_correct,attack_success,old_pred_original,old_original_correct,old_attacked_correct,old_attack_success,recompute_source
0,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
1,sonnet,openai,gpt-5.2,1,1,2,1,2,1,0,1,2.0,0.0,0.0,0.0,consensus_fixed_original_cache
2,sonnet,openai,gpt-5.2,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
3,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
4,sonnet,openai,gpt-5.2,0,0,1,0,1,1,0,1,0.0,1.0,0.0,1.0,consensus_fixed_original_cache
6,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
7,sonnet,openai,gpt-5.2,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
9,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
10,sonnet,openai,gpt-5.2,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
11,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
12,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
13,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
14,sonnet,openai,gpt-5.2,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
15,sonnet,openai,gpt-5.2,2,2,2,2,2,1,1,0,,,,,
16,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
17,sonnet,openai,gpt-5.2,2,2,2,2,2,1,1,0,,,,,
19,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
21,sonnet,openai,gpt-5.2,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
22,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
23,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
24,sonnet,openai,gpt-5.2,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
25,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
26,sonnet,openai,gpt-5.2,2,1,2,1,2,0,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
27,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
30,sonnet,openai,gpt-5.2,1,1,1,1,1,1,1,0,,,,,
31,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
32,sonnet,openai,gpt-5.2,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
33,sonnet,openai,gpt-5.2,2,1,1,1,1,0,0,0,1.0,0.0,0.0,0.0,consensus_fixed_original_cache
34,sonnet,openai,gpt-5.2,1,0,1,0,1,0,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
35,sonnet,openai,gpt-5.2,1,1,1,1,1,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
36,sonnet,openai,gpt-5.2,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
37,sonnet,openai,gpt-5.2,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
38,sonnet,openai,gpt-5.2,2,2,2,2,2,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
42,sonnet,openai,gpt-5.2,0,2,2,2,2,0,0,0,,,,,
43,sonnet,openai,gpt-5.2,0,0,0,0,0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
44,sonnet,openai,gpt-5.2,0,0,1,0,1,1,0,1,,,,,
45,sonnet,openai,gpt-5.2,2,2,2,2,2,1,1,0,,,,,
46,sonnet,openai,gpt-5.2,2,2,2,2,2,1,1,0,,,,,
49,sonnet,openai,gpt-5.2,1,1,0,1,0,1,0,1,1.0,1.0,0.0,1.0,consensus_fixed_original_cache
