left,right,left_asr_pct,right_asr_pct,diff_pct,bootstrap_ci_lower_pct,bootstrap_ci_upper_pct,bootstrap_p_two_sided,category,left_name,right_name,contrast,holm_p
hyperclova_x,gemini,9.656383245548032,5.843992977175821,3.8123902683722095,2.905651241210908,4.69473312633527,0.0009995002498750624,Generator,hyperclova_x,gemini,hyperclova_x minus gemini,0.005997001499250375
hyperclova_x,gpt,9.656383245548032,3.9001755706044645,5.756207674943567,4.809715394429464,6.660036521488147,0.0009995002498750624,Generator,hyperclova_x,gpt,hyperclova_x minus gpt,0.005997001499250375
hyperclova_x,claude_sonnet,9.656383245548032,4.815650865312264,4.8407323802357665,3.9110246534426087,5.802219633790802,0.0009995002498750624,Generator,hyperclova_x,claude_sonnet,hyperclova_x minus claude_sonnet,0.005997001499250375
gemini,gpt,5.843992977175821,3.9001755706044645,1.943817406571357,1.2953613848809398,2.557690352934629,0.0009995002498750624,Generator,gemini,gpt,gemini minus gpt,0.005997001499250375
gemini,claude_sonnet,5.843992977175821,4.815650865312264,1.0283421118635567,0.40032852341900643,1.6995920257970767,0.001999000499750125,Generator,gemini,claude_sonnet,gemini minus claude_sonnet,0.005997001499250375
gpt,claude_sonnet,3.9001755706044645,4.815650865312264,-0.9154752947078002,-1.5289277163756332,-0.325323507930612,0.001999000499750125,Generator,gpt,claude_sonnet,gpt minus claude_sonnet,0.005997001499250375
hyperclova_x,gemini,9.564606741573034,3.401522359657469,6.163084381915565,5.110403965559854,7.2162028548828765,0.0009995002498750624,Target,hyperclova_x,gemini,hyperclova_x minus gemini,0.005997001499250375
hyperclova_x,gpt,9.564606741573034,6.228373702422145,3.336233039150889,2.2476179507695826,4.478889572757545,0.0009995002498750624,Target,hyperclova_x,gpt,hyperclova_x minus gpt,0.005997001499250375
hyperclova_x,claude_sonnet,9.564606741573034,5.5582406959884,4.006366045584634,2.9316925724039598,5.177134018150673,0.0009995002498750624,Target,hyperclova_x,claude_sonnet,hyperclova_x minus claude_sonnet,0.005997001499250375
gemini,gpt,3.401522359657469,6.228373702422145,-2.826851342764676,-3.6077942148908018,-2.1233052035588664,0.0009995002498750624,Target,gemini,gpt,gemini minus gpt,0.005997001499250375
gemini,claude_sonnet,3.401522359657469,5.5582406959884,-2.156718336330931,-2.806207566033581,-1.4478759234438434,0.0009995002498750624,Target,gemini,claude_sonnet,gemini minus claude_sonnet,0.005997001499250375
gpt,claude_sonnet,6.228373702422145,5.5582406959884,0.6701330064337451,-0.1741065204499645,1.4739133116134124,0.111944027986007,Target,gpt,claude_sonnet,gpt minus claude_sonnet,0.111944027986007
0,1,4.922279792746114,9.080435693338918,-4.158155900592805,-5.4189862042975,-2.864343588286975,0.0009995002498750624,Label,Entailment,Neutral,Entailment minus Neutral,0.0029985007496251873
0,2,4.922279792746114,4.587667161961367,0.33461263078474746,-0.7454761957898378,1.3976981328167364,0.5317341329335332,Label,Entailment,Contradiction,Entailment minus Contradiction,0.5317341329335332
1,2,9.080435693338918,4.587667161961367,4.4927685313775525,3.2161347671120497,5.802013183598753,0.0009995002498750624,Label,Neutral,Contradiction,Neutral minus Contradiction,0.0029985007496251873
