id,generator,target,target_model,label,pred_original,pred_attacked,raw_original,raw_attacked,original_correct,attacked_correct,attack_success
0,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
1,gemini,openai,gpt-5.2,1,1,2,1,2,1,0,1
2,gemini,openai,gpt-5.2,1,1,1,1,1,1,1,0
3,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
4,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
6,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
7,gemini,openai,gpt-5.2,1,1,1,1,1,1,1,0
9,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
10,gemini,openai,gpt-5.2,1,1,1,1,1,1,1,0
11,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
12,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
13,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
14,gemini,openai,gpt-5.2,1,1,1,1,1,1,1,0
15,gemini,openai,gpt-5.2,2,2,2,2,2,1,1,0
16,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
17,gemini,openai,gpt-5.2,2,2,2,2,2,1,1,0
19,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
21,gemini,openai,gpt-5.2,1,1,1,1,1,1,1,0
22,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
23,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
24,gemini,openai,gpt-5.2,2,2,2,2,2,1,1,0
25,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
26,gemini,openai,gpt-5.2,2,1,2,1,2,0,1,0
27,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
30,gemini,openai,gpt-5.2,1,1,1,1,1,1,1,0
31,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
32,gemini,openai,gpt-5.2,2,2,2,2,2,1,1,0
33,gemini,openai,gpt-5.2,2,1,1,1,1,0,0,0
34,gemini,openai,gpt-5.2,1,0,1,0,1,0,1,0
35,gemini,openai,gpt-5.2,1,1,1,1,1,1,1,0
36,gemini,openai,gpt-5.2,2,2,2,2,2,1,1,0
37,gemini,openai,gpt-5.2,2,2,2,2,2,1,1,0
38,gemini,openai,gpt-5.2,2,2,2,2,2,1,1,0
42,gemini,openai,gpt-5.2,0,2,2,2,2,0,0,0
43,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
44,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
45,gemini,openai,gpt-5.2,2,2,2,2,2,1,1,0
46,gemini,openai,gpt-5.2,2,2,2,2,2,1,1,0
49,gemini,openai,gpt-5.2,1,1,1,1,1,1,1,0
50,gemini,openai,gpt-5.2,2,2,2,2,2,1,1,0
51,gemini,openai,gpt-5.2,2,2,2,2,2,1,1,0
52,gemini,openai,gpt-5.2,1,0,0,0,0,0,0,0
53,gemini,openai,gpt-5.2,1,0,1,0,1,0,1,0
55,gemini,openai,gpt-5.2,1,1,1,1,1,1,1,0
57,gemini,openai,gpt-5.2,0,0,0,0,0,1,1,0
58,gemini,openai,gpt-5.2,1,1,1,1,1,1,1,0
