id,generator,target,target_model,label,pred_original,pred_attacked,raw_original,raw_attacked,original_correct,attacked_correct,attack_success,old_pred_original,old_original_correct,old_attacked_correct,old_attack_success,recompute_source
0,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
1,clova,clova,HCX-005,1,1,1,1.0,1.0,1,1,0,0.0,0.0,1.0,0.0,consensus_fixed_original_cache
2,clova,clova,HCX-005,1,1,2,1.0,2.0,1,0,1,2.0,0.0,0.0,0.0,consensus_fixed_original_cache
3,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
4,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
6,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
7,clova,clova,HCX-005,1,1,1,1.0,1.0,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
9,clova,clova,HCX-005,0,0,1,0.0,1.0,1,0,1,0.0,1.0,0.0,1.0,consensus_fixed_original_cache
10,clova,clova,HCX-005,1,1,1,1.0,1.0,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
11,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
12,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
13,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
14,clova,clova,HCX-005,1,1,1,1.0,1.0,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
15,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,,,,,
16,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
17,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,,,,,
19,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
21,clova,clova,HCX-005,1,1,1,1.0,1.0,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
22,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
23,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
24,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
25,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
26,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
27,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
30,clova,clova,HCX-005,1,2,2,2.0,2.0,0,0,0,,,,,
31,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
32,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
33,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
34,clova,clova,HCX-005,1,1,1,1.0,1.0,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
35,clova,clova,HCX-005,1,1,2,1.0,2.0,1,0,1,1.0,1.0,0.0,1.0,consensus_fixed_original_cache
36,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
37,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
38,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
42,clova,clova,HCX-005,0,2,2,2.0,2.0,0,0,0,,,,,
43,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,0.0,1.0,1.0,0.0,consensus_fixed_original_cache
44,clova,clova,HCX-005,0,0,0,0.0,0.0,1,1,0,,,,,
45,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,,,,,
46,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,,,,,
49,clova,clova,HCX-005,1,1,1,1.0,1.0,1,1,0,1.0,1.0,1.0,0.0,consensus_fixed_original_cache
50,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
51,clova,clova,HCX-005,2,2,2,2.0,2.0,1,1,0,2.0,1.0,1.0,0.0,consensus_fixed_original_cache
