id,generator,target,target_model,label,pred_original,pred_attacked,raw_original,raw_attacked,original_correct,attacked_correct,attack_success
0,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
1,baseline_backtranslation,openai,gpt-5.2,1,1,2,1,2,1,0,1
2,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
3,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
4,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
6,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
7,baseline_backtranslation,openai,gpt-5.2,1,1,0,1,0,1,0,1
9,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
10,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
11,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
12,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
14,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
15,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
16,baseline_backtranslation,openai,gpt-5.2,0,0,1,0,1,1,0,1
17,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
19,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
21,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
22,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
23,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
24,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
25,baseline_backtranslation,openai,gpt-5.2,0,0,1,0,1,1,0,1
26,baseline_backtranslation,openai,gpt-5.2,2,1,1,1,1,0,0,0
27,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
30,baseline_backtranslation,openai,gpt-5.2,1,1,2,1,2,1,0,1
31,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
32,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
33,baseline_backtranslation,openai,gpt-5.2,2,1,1,1,1,0,0,0
34,baseline_backtranslation,openai,gpt-5.2,1,0,1,0,1,0,1,0
35,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
36,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
37,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
38,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
42,baseline_backtranslation,openai,gpt-5.2,0,2,2,2,2,0,0,0
43,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
44,baseline_backtranslation,openai,gpt-5.2,0,0,1,0,1,1,0,1
45,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
46,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
49,baseline_backtranslation,openai,gpt-5.2,1,1,0,1,0,1,0,1
50,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
51,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
52,baseline_backtranslation,openai,gpt-5.2,1,0,0,0,0,0,0,0
53,baseline_backtranslation,openai,gpt-5.2,1,0,0,0,0,0,0,0
55,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
57,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
58,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
61,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
62,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
64,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
65,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
67,baseline_backtranslation,openai,gpt-5.2,1,1,0,1,0,1,0,1
68,baseline_backtranslation,openai,gpt-5.2,2,2,1,2,1,1,0,1
70,baseline_backtranslation,openai,gpt-5.2,1,0,0,0,0,0,0,0
71,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
72,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
75,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
77,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
78,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
79,baseline_backtranslation,openai,gpt-5.2,2,2,1,2,1,1,0,1
80,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
82,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
83,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
84,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
85,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
87,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
88,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
89,baseline_backtranslation,openai,gpt-5.2,2,1,1,1,1,0,0,0
90,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
93,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
97,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
98,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
101,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
102,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
104,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
107,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
108,baseline_backtranslation,openai,gpt-5.2,2,0,2,0,2,0,1,0
111,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
112,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
113,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
115,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
116,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
118,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
119,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
120,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
121,baseline_backtranslation,openai,gpt-5.2,0,0,0,0,0,1,1,0
122,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
123,baseline_backtranslation,openai,gpt-5.2,0,1,1,1,1,0,0,0
125,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
126,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
127,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
129,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
130,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
132,baseline_backtranslation,openai,gpt-5.2,1,1,1,1,1,1,1,0
133,baseline_backtranslation,openai,gpt-5.2,0,0,1,0,1,1,0,1
134,baseline_backtranslation,openai,gpt-5.2,2,2,1,2,1,1,0,1
135,baseline_backtranslation,openai,gpt-5.2,2,2,2,2,2,1,1,0
